"","alpha","Layers","FDR","Power"
"1",0.05,1,0,0
"2",0.05,2,0.333333333333333,0.0306513409961686
"3",0.05,3,0.333333333333333,0.0306513409961686
"4",0.05,4,0.333333333333333,0.0306513409961686
"5",0.1,1,0.333333333333333,0.00766283524904215
"6",0.1,2,0.222222222222222,0.0268199233716475
"7",0.1,3,0.222222222222222,0.0268199233716475
"8",0.1,4,0.222222222222222,0.0268199233716475
"9",0.15,1,0.333333333333333,0.00766283524904215
"10",0.15,2,0.222222222222222,0.0268199233716475
"11",0.15,3,0.222222222222222,0.0268199233716475
"12",0.15,4,0.222222222222222,0.0268199233716475
"13",0.2,1,0.25,0.0114942528735632
"14",0.2,2,0.2,0.0306513409961686
"15",0.2,3,0.2,0.0306513409961686
"16",0.2,4,0.2,0.0306513409961686
"17",0.05,1,0,0
"18",0.05,2,0,0.0171673819742489
"19",0.05,3,0,0.0171673819742489
"20",0.05,4,0,0.0171673819742489
"21",0.1,1,0,0
"22",0.1,2,0,0.0171673819742489
"23",0.1,3,0,0.0171673819742489
"24",0.1,4,0,0.0171673819742489
"25",0.15,1,0,0
"26",0.15,2,0,0.0171673819742489
"27",0.15,3,0,0.0171673819742489
"28",0.15,4,0,0.0171673819742489
"29",0.2,1,0,0
"30",0.2,2,0,0.0171673819742489
"31",0.2,3,0,0.0171673819742489
"32",0.2,4,0,0.0171673819742489
"33",0.05,1,0,0
"34",0.05,2,0,0.0260869565217391
"35",0.05,3,0.125,0.0304347826086957
"36",0.05,4,0.125,0.0304347826086957
"37",0.1,1,0,0
"38",0.1,2,0,0.0260869565217391
"39",0.1,3,0.125,0.0304347826086957
"40",0.1,4,0.125,0.0304347826086957
"41",0.15,1,0,0.00869565217391304
"42",0.15,2,0,0.0260869565217391
"43",0.15,3,0,0.0260869565217391
"44",0.15,4,0,0.0260869565217391
"45",0.2,1,0.25,0.0260869565217391
"46",0.2,2,0.2,0.0347826086956522
"47",0.2,3,0.2,0.0347826086956522
"48",0.2,4,0.2,0.0347826086956522
"49",0.05,1,0,0
"50",0.05,2,0,0.00772200772200772
"51",0.05,3,0,0.00772200772200772
"52",0.05,4,0,0.00772200772200772
"53",0.1,1,0,0.027027027027027
"54",0.1,2,0,0.027027027027027
"55",0.1,3,0,0.027027027027027
"56",0.1,4,0,0.027027027027027
"57",0.15,1,0.0909090909090909,0.0386100386100386
"58",0.15,2,0.0909090909090909,0.0386100386100386
"59",0.15,3,0.0909090909090909,0.0386100386100386
"60",0.15,4,0.0909090909090909,0.0386100386100386
"61",0.2,1,0.0909090909090909,0.0386100386100386
"62",0.2,2,0.0769230769230769,0.0463320463320463
"63",0.2,3,0.0769230769230769,0.0463320463320463
"64",0.2,4,0.0769230769230769,0.0463320463320463
"65",0.05,1,0,0
"66",0.05,2,0.166666666666667,0.0197628458498024
"67",0.05,3,0.166666666666667,0.0197628458498024
"68",0.05,4,0.166666666666667,0.0197628458498024
"69",0.1,1,0,0.00790513833992095
"70",0.1,2,0.25,0.0118577075098814
"71",0.1,3,0.533333333333333,0.0276679841897233
"72",0.1,4,0.533333333333333,0.0276679841897233
"73",0.15,1,0,0.0118577075098814
"74",0.15,2,0,0.0118577075098814
